,target_mean,hedge_mean,residual,mean_HDD,mean_CDD,mean_HRCO
2026-01,440.64645,542.1427,-101.49625,12095.563,935.563,2699.9358
2026-02,356.24118,456.92755,-100.68637,10923.464,843.4616,4127.685
2026-03,454.0201,475.53336,-21.513245,12092.49,932.4892,6437.592
2026-04,0.23818345,-50.580757,50.81894,1436.006,1436.0073,9307.436
2026-05,0.19960095,-82.425446,82.625046,1483.6692,1483.6678,11367.687
2026-06,349.51984,377.26526,-27.745422,212.3106,11012.314,9834.584
2026-07,398.56827,396.32452,2.243744,218.29228,11378.289,9841.909
2026-08,364.1823,351.64886,12.533447,218.76282,11378.759,12362.882
2026-09,359.2885,411.42273,-52.134216,213.2366,11013.238,7914.2793
2026-10,0.23636231,-34.340042,34.576405,1484.086,1484.0875,8659.449
2026-11,0.23279478,-8.307106,8.539901,1435.972,1435.972,6924.2856
2026-12,586.8976,474.65967,112.237915,12094.863,934.8689,6500.061
